archetype,deck,list_id,source,date,event,pilot,camp,category,confidence,regime,origin,verifier,verdict,reason,verifier_reason
tron,Tron,melee:8d2790b6-c112-43a6-a7cc-b4b30043ad6c,melee,2026-08-29,Spotlight Brisbane,AlimTheBackpack,green,version-misassignment,medium,post,pass3,drop,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset","angle 2: Eldrazi Tron shell (4 Karn, 3 Eldrazi Temple, 4 Labyrinth, 3 Mycospawn, 4 Glaring Fleshraker, 3 Yggdrasil, 2 Forest) with 4 Malevolent Rumble as its only green cards; none of the green version's markers. Green only by the playset clause. Pilot named it Mono-Green. Proposed rule: Same marker rule as above; this list is one of the 2 green lists it moves to colourless.","The list is real and the reading mostly holds: melee decklist 8d2790b6 in data/raw-melee/441441.json is AlimTheBackpack, Spotlight Brisbane 2026-08-29, rank 557, 0-3-0, melee name ""Mono-Green"", with 4 Karn, 3 Eldrazi Temple, 4 Ugin's Labyrinth, 3 Sowing Mycospawn, 4 Glaring Fleshraker, 3 Yggdrasil, 2 Forest and 4 Malevolent Rumble, and classify_now gives tron/green through the playset clause (green spells seen by the rule: {Malevolent Rumble: 4}). One correction: Rumble is not its only green card, the list also holds 1 Force of Vigor, which the store's cards table has no colour for, so the rule reads it as colourless; on real colours the list sits at five green spells too. The proposed marker rule (blue on Stock Up or Force of Negation, green on Chromatic Sphere, Star or Sylvan Scrying, else colourless) re-measures with a patched config over the 828 Tron members (719 MTGO, 109 paper) as 25 blue and 2 green moving to colourless, this list and BillisTheIllest's Dallas list on 4 Ancient Stirrings, so the finder's effect is right. It fails on criterion 4. The adopted Tron ruling in HEURISTICS.md fixes the version rule as the splash line on blue and green (""a playset or five green cards is green""), names Rumble among the version markers explicitly (""Sphere, Star, Stock Up and Rumble stop being exclusions and become version markers""), and its measured ""5 green"" is exactly the five green lists the store holds today, all dated before the ruling and this list among them. The finder's premise that the green version's markers are only Sphere, Star and Scrying misreads the ruling, and the pilot's own name ""Mono-Green"" runs against it rather than for it. A list the adopted ruling explicitly places is not a candidate."
tron,Tron,modern-challenge-64-2026-08-3012853202#narca,mtgo,2026-08-30,Modern Challenge 64,narca,blue,version-misassignment,medium,post,pass3,drop,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset","angle 2: Same shell on 4 Dress Down, 2 Inscribed Tablet, 1 Island; no Stock Up or Force. Proposed rule: Same marker rule; one of the 25.","Facts hold: store list 10478 is narca, 2026-08-30, Modern Challenge 64, placement 12, stored tron/blue, mainboard 4 Dress Down (blue), 2 Inscribed Tablet, 1 Island, 0 Stock Up, 0 Force of Negation, on 4 Karn, 4 Ugin's Labyrinth, 4 Sowing Mycospawn, no Eldrazi Temple. The rule does what the finder says: the blue colour_variant reads _spells_outside as {Dress Down: 4}, _beyond_splash returns ""playset"", so the list is blue. The candidate fails on (4): the adopted Tron ruling in HEURISTICS.md fixes the version rule in its Applies as ""the splash line on blue and green only: a playset or five blue cards is blue, likewise green, else colourless"", and CONTEXT.md repeats it (""Blue on five blue cards or a playset of one""), so a list on a playset of one blue card is placed blue by the ruling as written; the pilot adopted that rule on 2026-09-13 with 77 blue measured, and narca's three 4 Dress Down lists (5231, 10353, 10478) were among that 77. The ruling's one named exception is Ancient Stirrings on green, and extending it to Dress Down and Portent inside the Karn/Eldrazi engine is a new ruling to put to the pilot, not a misassignment against the rulings adopted. On (5) the re-measure over 828 tron members (719 MTGO, 109 paper): the marker rule (Stock Up or Force for blue; Chromatic Sphere, Star or Sylvan Scrying for green) moves 25 blue to colourless (24 MTGO, 1 paper, 10478 among them) and 2 green to colourless (BillisTheIllest on 4 Stirrings and AlimTheBackpack on 4 Malevolent Rumble), 27 in all, membership unchanged; the finder's set of 25 differs by including the Stirrings list and omitting inf1nitus's 22683 (3 Portent, 2 Dress Down, five blue cards). Scratch: /private/tmp/claude-501/-Users-alejandrofp-Projects-mtg-archetype-tracking/925370ac-349d-4903-89b8-292b09613824/scratchpad/pass3/verify/v10478.py and v10478_measure.txt."
tron,Tron,modern-league-2026-08-3010983#MagicDevil666,mtgo,2026-08-30,Modern League,MagicDevil666,blue,version-misassignment,medium,post,pass3,keep,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset","angle 2: Karn/Temple/Mycospawn shell on 4 Dress Down, 1 Snow-Covered Island; no Stock Up or Force. This pilot's genuine blue Tron lists (Stock Up, Force, Portent, 3-4 Islands, no Karn) are read blue under either rule. Proposed rule: Same marker rule; one of the 25.","(1) List 22534 exists in the store: 2026-08-30, Modern League, MagicDevil666, archetype tron, camp blue. (2) Cards as quoted: 4 Dress Down, 1 Snow-Covered Island, 4 Karn the Great Creator, 1 Eldrazi Temple, 4 Sowing Mycospawn, plus 4 Ugin's Labyrinth, 4 Devourer of Destiny, 4 Ugin Eye of the Storms, 4 Kozilek's Command, 4 Talisman of Curiosity (colourless); no Stock Up, no Force of Negation, no other Island. Dress Down is the only blue spell. (3) config.py reads versions on colour_variants via classify._beyond_splash over blue spells, so the Dress Down playset alone returns 'playset' and the list reads blue; classify_now confirms ('tron','blue'). (4) Not a list the ruling explicitly places (it names 77, 22651, 22741). The ruling defines blue Tron as the deck on Stock Up and Force of Negation, and says the Eldrazi engine with a green playset splash (Stirrings) is colourless with a splash; this is the identical shape in blue, a Karn/Labyrinth/Eldrazi list splashing one playset off one Island and Talismans, so filing it in the blue version with this pilot's genuine Stock Up/Force/Portent lists on 4-5 Islands and no Karn is a deck error the ruling's own words support. (5) Re-measured over 828 Tron members (store plus the three paper events, all since the 2026-05-19 boundary): the marker rule (blue on Stock Up or Force, green on Sphere, Star or Scrying, else colourless) changes no membership and moves 27 lists, 25 blue to colourless (24 MTGO, 1 Dallas) and 2 green to colourless (Brisbane Rumble, Dallas Stirrings), camps 745/78/5 to 772/53/3, nothing moving into blue or green. 22534 is one of the 25. One caveat on the rule rather than the candidate: 22683 (inf1nitus, no Karn, 3 Expand the Sphere, 3 Portent, 2 Dress Down) also drops to colourless under it and looks like a genuinely blue list."
tron,Tron,modern-league-2026-08-3110983#jjcbupt,mtgo,2026-08-31,Modern League,jjcbupt,blue,version-misassignment,medium,post,pass3,drop,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset","angle 2: 4 Karn, 4 Temple, 4 Mycospawn, 4 Devourer on 4 Dress Down, 1 Island, 1 Forest; no Stock Up or Force. Proposed rule: Same marker rule; one of the 25.","Re-read from the store: list 22623 is jjcbupt, Modern League, 2026-08-31, camp blue, and the mainboard holds exactly 4 Karn, the Great Creator, 4 Eldrazi Temple, 4 Sowing Mycospawn, 4 Devourer of Destiny, 4 Dress Down, 1 Island, 1 Forest, no Stock Up and no Force of Negation, so the quoted cards and counts are right and the rule does what the finder says: Dress Down is the only blue spell, at 4 copies, and _beyond_splash returns ""playset"", which colour_variants reads as the blue version. Re-measured with the marker rule patched in memory (blue on Stock Up or Force of Negation, green on Sphere, Star or Sylvan Scrying) over the 828 members (719 store, 109 paper): camps go from 745 colourless, 78 blue, 5 green to 772, 53, 3, moving 27 lists, 25 blue to colourless (24 MTGO, zebhillard at Dallas) and 2 green to colourless (BillisTheIllest on 4 Ancient Stirrings and AlimTheBackpack on 4 Malevolent Rumble), and 22623 is one of the 25, as claimed. It fails on point 4. The adopted ruling of 2026-09-13 fixes Tron's versions as the splash line by name, ""a playset or five blue cards is blue, likewise green, else colourless"", in HEURISTICS.md, in the pass-two archive's Ruling line and in the config comment, and its measured 77 blue was counted with that clause; the playset-of-one clause is the same design the pilot ruled for Boros Energy (4 Quantum Riddler is Jeskai) and Ponza (4 Teferi is Jeskai). The Dress Down build was in front of the pilot when that ruling was made: the pass-two Tron section names ""narca's Dress Down build"" and ""zebhillard's Mono-Blue Tron at Dallas ... that build too"" (zebhillard registered it as Mono-Blue Tron), and the ruling placed such a list in blue rather than carving it out the way it carved out Ancient Stirrings under a playset. So this is not a list the version rule misreads; it is a proposal to replace the adopted splash-line version rule with a marker rule, a re-litigation of a ruling that explicitly places a 4 Dress Down list in blue. If the pilot wants Eldrazi-shell lists on a blue playset read as colourless, that is a new heuristic for him to rule on, and the measured effect above is what it would move."
tron,Tron,modern-league-2026-09-0110983#MagicDevil666,mtgo,2026-09-01,Modern League,MagicDevil666,blue,version-misassignment,medium,post,pass3,drop,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset",angle 2: Same shell on 4 Dress Down; no Stock Up or Force. Proposed rule: Same marker rule; one of the 25.,"The list exists as described: 22675, 2026-09-01 Modern League, MagicDevil666, tron/blue (with a same-day identical 22688). It is the full colourless Eldrazi shell (4 Karn, 4 Ugin's Labyrinth, 4 Devourer of Destiny, 4 Kozilek's Command, 4 Sowing Mycospawn, 4 Ugin Eye of the Storms, 4 Map, 4 Giant's Boulder, 4 Talisman of Curiosity, 2 Emrakul, 1 Ugin the Spirit Dragon) with 4 Dress Down as its only blue spell on 1 Snow-Covered Island, no Stock Up and no Force of Negation in the 75; classify._beyond_splash returns ""playset"" over {Dress Down: 4} and the colour_variants rule reads it blue, exactly as the finder says. The marker rule re-measures as stated: 0 colourless lists hold Stock Up or Force, 25 blue lists hold neither (24 MTGO, 1 paper: 15 on 4 Dress Down, 9 on 4 Portent of Calamity, 1 on 3 Portent plus 2 Dress Down), so it would move 25 blue to colourless (78 to 53, 745 to 770) with membership unchanged. Check (4) fails, though: the Tron ruling adopted on 2026-09-13 fixes the version rule as the splash line, ""a playset or five blue cards is blue, likewise green, else colourless"", and its applied count of 77 blue was measured with these lists inside it; pass one had already named the 29-list Dress Down and Portent cluster (narca, MagicDevil666, DreamsOfAshiok, jjcbupt, zebhillard's Mono-Blue Tron) as a blue cantrip package inside the same engine, and the pilot still chose the splash line, with only the black playsets called out as colourless with removal. A playset of one blue card is placed blue by the ruling itself, so this is a proposal for a different version rule, not a deck error, and it is not a candidate for the sweep."
tron,Tron,modern-league-2026-09-0110983#inf1nitus,mtgo,2026-09-01,Modern League,inf1nitus,blue,version-misassignment,medium,post,pass3,drop,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset","angle 2: Admitted list. Eldrazi shell (4 Temple, 4 Labyrinth, 3 Mycospawn, 3 Devourer, 4 Boulder, 2 Forest, 1 Island, no Karn) on 3 Portent + 2 Dress Down (five blue cards, exactly the line) and 3 Expand the Sphere; no Stock Up or Force. Blue by the five-card clause. Proposed rule: Same marker rule; one of the 25 (the one list the five-or-more alternative would keep blue).","Facts confirmed: 22683 is inf1nitus, Modern League, 2026-09-01 (5-0), the only inf1nitus list that day; mainboard 60 with 4 Temple, 4 Labyrinth, 4 Map, 4 Boulder, 4 Kozilek's Command, 4 Talisman of Curiosity, 3 Devourer, 3 Mycospawn, 3 Ugin Eye of the Storms, 3 Expand the Sphere (G), 3 Portent of Calamity (U), 2 Dress Down (U), 2 Forest, 1 Island, no Karn, no Stock Up, no Force. Blue nonland spells are exactly 5 (Portent 3 + Dress Down 2), so _beyond_splash returns 'splash' and variant reads blue; green is 3, under the line. Re-measured over 828 members since 2026-05-19 (745 colourless, 78 blue, 5 green): a marker rule (blue on Stock Up or Force) moves 25 blue to colourless, 22683 among them (27 if green also goes on markers); the five-or-more-only alternative moves 24 and keeps 22683 blue. But criterion 4 fails: this is the pass-two row 22651 (ids shifted; same pilot, date, event, and the archived verifier quoted the identical cards, '3 Expand the Sphere, 3 Portent of Calamity, 4 Talisman of Curiosity, 2 Dress Down on 1 Island, no Karn, no Stock Up. A blue splash inside the full Eldrazi engine'). The pilot had this list in front of him, ruled it in, and in the same ruling adopted the splash line with the five-card threshold as the version rule, measured at 77 blue with this list counted. Five blue cards is by his own adopted definition beyond a splash, and even the finder's count-only alternative keeps it blue. It flips only under a swap of the splash line for Stock Up / Force markers, which is a re-litigation of the adopted version rule belonging to the 24 playset-list siblings, not a deck error on this list."
tron,Tron,modern-league-2026-09-0110983#MagicDevil666#2,mtgo,2026-09-01,Modern League,MagicDevil666,blue,version-misassignment,medium,post,pass3,drop,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset",angle 2: Same shell on 4 Dress Down; no Stock Up or Force. Proposed rule: Same marker rule; one of the 25.,"List 22688 exists as stated (MagicDevil666, Modern League, 2026-09-01, 5-0, tron/blue; same 75 as 22675 that day) and the cards hold: 4 Dress Down, 0 Stock Up, 0 Force of Negation, with 4 Karn, 4 Ugin's Labyrinth, 4 Sowing Mycospawn, 4 Devourer, 4 Kozilek's Command. The rule does what the finder says: blue spells {Dress Down: 4} hits the playset clause and variant() returns blue. But check (4) fails: the adopted Tron ruling's Applies clause explicitly places it (""a playset or five blue cards is blue, likewise green, else colourless""), and the adopted 77-blue count was measured with this list inside. The finder's argument leans on the ruling's descriptive sentence (blue Tron ""on Stock Up and Force"", colourless ""on Karn, Labyrinth and the Eldrazi""), which is in tension with the Applies clause, the same way the Ancient Stirrings sentence is overridden by the playset clause for the 3 lists on 4 Stirrings; that is a heuristics question for the pilot, not a deck error, and the candidate is by its own words one of the 25 under the 5231 batch proposal, so it should be raised once there rather than per list. Re-measured marker rule over 828 Tron lists (719 MTGO, 109 paper): current 745 colourless / 78 blue / 5 green becomes 772 / 53 / 3, moving 25 blue to colourless (24 MTGO + 1 paper; 15 Dress Down playsets, 9 Portent, 1 both; 22688 among them, all with Karn) plus 2 paper green to colourless (4 Rumble, 4 Stirrings) that the finder's count omits."
tron,Tron,modern-league-2026-09-0210983#TYPEWOG,mtgo,2026-09-02,Modern League,TYPEWOG,blue,version-misassignment,medium,post,pass3,keep,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset","angle 2: 4 Karn, 4 Temple, 4 Mycospawn, 3 Devourer, 1 Trinisphere on 4 Portent, 1 Island, 1 Forest; no Stock Up or Force. Proposed rule: Same marker rule; one of the 25.","Re-read from the store: 22732 is TYPEWOG's Modern League 5-0 of 2026-09-02, stored tron/blue. Mainboard as quoted: 4 Karn, the Great Creator, 4 Eldrazi Temple, 4 Sowing Mycospawn, 3 Devourer of Destiny, 1 Trinisphere, 4 Portent of Calamity, 1 Island, 1 Forest (plus 4 Ugin's Labyrinth, 4 Talisman of Curiosity, 4 Kozilek's Command, 4 Ugin), 0 Stock Up and 0 Force of Negation main or side. The rule as written reads it blue exactly as the finder says: _spells_outside on ALL_COLOURS minus U returns {Portent of Calamity: 4}, _beyond_splash calls that a playset, and colour_variants returns blue before the colourless default. The adopted ruling does not explicitly place it: its words say colourless Tron is Karn, Ugin's Labyrinth and the Eldrazi and blue Tron is Stock Up and Force of Negation, which puts this list in colourless, and the same ruling says Stirrings inside the Eldrazi engine is colourless with a splash while the rule as written reads all 3 four-Stirrings lists as green, so the playset clause is a mechanical misfire on Tron's version line, not a pilot placement. Re-measured with the marker rule patched in (blue on Stock Up or Force of Negation, green on Chromatic Sphere, Star or Sylvan Scrying) over the 828 Tron lists since 2026-05-19 (719 MTGO, 109 paper): membership unchanged, camps 745/78/5 to 772/53/3; 25 blue lists move to colourless (24 MTGO, zebhillard's Dallas list), 22732 among them, every one an Eldrazi shell on Karn or Mycospawn with a Portent or Dress Down playset and no Stock Up or Force, which matches the finder's 25; the 2 further green-to-colourless moves are the Stirrings paper lists and belong to a separate candidate."
tron,Tron,modern-challenge-16-2026-09-0512853780#narca,mtgo,2026-09-05,Modern Challenge 16,narca,blue,version-misassignment,medium,post,pass3,keep,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset",angle 2: Same shell on 4 Dress Down; no Stock Up or Force. Proposed rule: Same marker rule; one of the 25.,"Confirmed: store id 182 is narca, Modern Challenge 16, 2026-09-05, p12 4-2, stored tron/blue. Mainboard holds 4 Dress Down, 0 Stock Up, 0 Force of Negation, and the colourless shell at full copies (4 Karn, 4 Ugin's Labyrinth, 4 Devourer of Destiny, 4 Kozilek's Command, 4 Ugin Eye of the Storms, 3 Sowing Mycospawn, 3 Emrakul the Promised End) with one Island as the only blue source. The splash-line rule makes it blue on the playset clause alone (_beyond_splash({'Dress Down': 4}) = playset). The adopted ruling does not place this list or Dress Down: its prose defines colourless Tron as Karn, Labyrinth and the Eldrazi (this list exactly) and blue Tron as Stock Up and Force (neither present), and treats a lone off-colour card on the Eldrazi engine (Ancient Stirrings) as colourless with a splash, which the applied playset clause already contradicts on BillisTheIllest's Dallas list (4 Stirrings, no Chromatic cards, currently green). Re-measured with the real classify.variant under a patched marker rule (blue on Stock Up or Force, green on Sphere, Star or Sylvan Scrying): 828 Tron lists go 745/78/5 to 772/53/3, exactly 25 blue lists move to colourless (24 MTGO, 1 paper: zebhillard at Dallas), narca's among them; 24 of the 25 sit on 4 Karn + 4 Labyrinth with a single blue 4-of (15 Dress Down, 9 Portent of Calamity). Caveats for the pilot: 22683 (inf1nitus, 3 Portent + 2 Dress Down, no Karn) is five blue cards and would move under markers but not under a five-cards-only rule, and the green markers move 2 paper lists as a side effect. This is a rule-level question (playset clause versus the ruling's prose), one population of 25, for the pilot to settle."
tron,Tron,melee:44725398-84c0-4ceb-96a6-b4bc00ce44ed,melee,2026-09-05,Spotlight Dallas,zebhillard,blue,version-misassignment,medium,post,pass3,drop,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset","angle 2: narca's Dress Down build (4 Karn, 4 Mycospawn, 4 Devourer, 2 Painter's Servant, 4 Dress Down, 1 Island, 1 Forest); no Stock Up or Force. Counter-evidence: the pilot registered it as Mono-Blue Tron, so paper pilots may name this build by its splash. Proposed rule: Same marker rule; one of the 25.","The list is real and the cards are as quoted: Spotlight Dallas 2026-09-05, zebhillard, p511, 61-card main with 4 Karn, 4 Sowing Mycospawn, 4 Devourer of Destiny, 2 Painter's Servant, 4 Dress Down, 1 Island, 1 Forest, no Stock Up or Force of Negation; the blue colour_variant reads the playset of Dress Down and classify_now returns tron/blue. But the adopted ruling explicitly places it: ""the version rule is the splash line on blue and green only: a playset or five blue cards is blue"", and the 77 blue it quoted was measured with the Portent and Dress Down Eldrazi lists inside (78 blue today, 25 of them with neither Stock Up nor Force). The Stirrings sentence gives no foothold, every 4 Stirrings list sitting in the ruling's own 5 green. The pilot registered the deck as Mono-Blue Tron, agreeing with the camp. Re-measured, the marker rule (blue on Stock Up or Force, green on Sphere, Star or Scrying) moves 27 lists not 25: 25 blue to colourless plus 2 green to colourless (AlimTheBackpack's 4 Rumble list registered Mono-Green, BillisTheIllest's 4 Stirrings list registered Mono-Green Tron), 772/53/3 against 745/78/5, and one of the 25 (22683, 3 Portent and 2 Dress Down) casts five blue cards, which the ruling names blue. A version reading the ruling fixes is not a deck error to sweep."
tron,Tron,melee:a7ca7b2d-d64b-49e5-90d4-b4bb006266f5,melee,2026-09-05,Spotlight Dallas,BillisTheIllest,green,version-misassignment,high,post,pass3,keep,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset","angle 2, angle 3, angle 4: Colourless Eldrazi Tron shell (4 Karn, 4 Eldrazi Temple, 4 Ugin's Labyrinth, 4 Sowing Mycospawn, 3 Devourer, 4 Giant's Boulder, 2 Forest) with 4 Ancient Stirrings as its only green cards; no Chromatic Sphere, Star or Sylvan Scrying. The adopted ruling says 'Ancient Stirrings on a green splash inside the Eldrazi engine is colourless with a splash', but the playset clause of the splash line reads it as green. Pilot registered it as Mono-Green Tron. Proposed rule: Read Tron's versions on markers instead of the splash line: blue on mainboard Stock Up or Force of Negation, green on Chromatic Sphere, Chromatic Star or Sylvan Scrying, else colourless. Measured over the store and the paper lists: moves exactly 25 blue and 2 green lists to colourless (25 MTGO, 3 paper), no colourless list moves; blue 78 to 53 (every one of the 53 holds both Stock Up and Force), green 5 to 3, colourless 745 to 772. Alternative measured: dropping the playset clause for Tron alone (five or more only) moves 24 blue and 2 green and leaves 22683 blue on five cards.","All five hold. (1) The list exists once as melee:a7ca7b2d, Spotlight Dallas, 2026-09-05, BillisTheIllest, placement 613, record 2-3-1, melee name ""Mono-Green Tron"", store archetype tron, camp green. (2) Mainboard is 60 as quoted: 4 Karn, 4 Eldrazi Temple, 4 Ugin's Labyrinth, 4 Sowing Mycospawn, 3 Devourer of Destiny, 4 Giant's Boulder, 2 Forest, plus 4 Kozilek's Command, 4 Expedition Map, 4 Talisman, 3 Ugin Eye, 2 Sire, 1 Ugin Spirit Dragon, 1 Emrakul; 4 Ancient Stirrings is the only card with a colour on record, and Chromatic Sphere, Chromatic Star and Sylvan Scrying are all absent. (3) classify_now returns ('tron', 'green'): _spells_outside on ALL_COLOURS minus G gives {'Ancient Stirrings': 4} and _beyond_splash returns 'playset', exactly as the finder says. (4) The adopted ruling's prose (""Ancient Stirrings on a green splash inside the Eldrazi engine is colourless with a splash"") and the config.py comment on the tron rule both place this list as colourless; the code's playset clause places it as green, so the assignment contradicts the ruling rather than being fixed by it. The one tension is that the ruling's Applies clause counted ""5 green"", a figure that includes this list, but the count does not name it and the prose is explicit. (5) Re-measured over 828 Tron lists (719 MTGO, 109 paper): current 745 colourless / 78 blue / 5 green; the marker rule gives 772 / 53 / 3, moving exactly 25 blue and 2 green to colourless (24 MTGO + 1 paper blue, 2 paper green = 25 MTGO, 3 paper), no colourless list moves, and all 53 remaining blue lists hold both Stock Up and Force of Negation. The 25 blue movers are 15 lists on 4 Dress Down, 9 on 4 Portent of Calamity and 1 on 2 Dress Down + 3 Portent. The alternative (five or more only, Tron alone) gives 771 / 54 / 3, moving 24 blue and 2 green, with inf1nitus's 22683 (2026-09-01) staying blue on five blue cards. One caveat for the pilot: the second green mover is AlimTheBackpack's Spotlight Brisbane list on 4 Malevolent Rumble with no Stirrings, Sphere, Star or Scrying, which the ruling's prose does not name explicitly, so the marker rule reads slightly wider than the Stirrings sentence."
tron,Tron,modern-challenge-64-2026-09-0612853693#narca,mtgo,2026-09-06,Modern Challenge 64,narca,blue,version-misassignment,medium,post,pass3,drop,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset",angle 2: Same shell on 4 Dress Down; no Stock Up or Force. A top-8 finish the tracked colourless version does not see. Proposed rule: Same marker rule; one of the 25.,"The list is real and the finder read it correctly: store list 10702 is narca, Modern Challenge 64, 2026-09-06, placement 8 at 5-3, stored tron/blue, on 4 Dress Down as its only blue spell (Island, Forest, Boseiju and Abstergo are lands), no Stock Up and no Force of Negation, over the colourless shell of 4 Karn, 4 Ugin's Labyrinth, 4 Devourer of Destiny, 4 Kozilek's Command, 4 Ugin, Eye of the Storms, 3 Sowing Mycospawn, 3 Talisman of Curiosity. The rule as written does what the finder says: colour_variants runs _beyond_splash over the blue spells, 4 Dress Down is a playset, so variant returns blue. The re-measured effect is also as claimed: swapping colour_variants for a marker rule (blue on Stock Up or Force, green on Sphere, Star or Scrying) moves 27 of 828 members, 25 blue to colourless (15 on a Dress Down playset including 10702, 9 on a Portent of Calamity playset, 1 on 3 Portent plus 2 Dress Down; 24 MTGO and zebhillard's Dallas list) and 2 Dallas green lists to colourless; blue goes 78 to 53, colourless 745 to 772, green 5 to 3, and challenge-class top-8s move from 68 colourless and 4 blue to 69 and 3. It fails on (4). The adopted Tron ruling of 2026-09-13 fixes the version rule in its Applies line as the splash line, ""a playset or five blue cards is blue, likewise green, else colourless"", and quotes the figures computed with it (77 blue of 821), which already included narca's Dress Down lists 5231, 10353, 10478, 182 and 10702. A blue playset inside the Eldrazi shell is therefore placed by the ruling's own mechanism, and the finder's proposal replaces that mechanism rather than correcting an error under it: the ""Stock Up and Force"" wording is the ruling's description of the blue version, not its test. The ruling's Ancient Stirrings sentence does cut against the playset clause for green (BillisTheIllest's Dallas list is green on 4 Stirrings alone), but that is a green carve-out and the a7ca candidate's business, not grounds to read a Dress Down playset as a splash by analogy. The stated harm is also thin: colourless already holds 68 of the 72 challenge-class top-8s, and the pilot's own heuristic reads top-8 as tiebreakers with top-16 as the real cut. If the pilot wants a lone playset inside the Eldrazi engine read as colourless with a splash, that is a ruling change affecting 25 lists to put to him, not a contamination fix."
tron,Tron,modern-league-2026-09-0610983#DreamsOfAshiok,mtgo,2026-09-06,Modern League,DreamsOfAshiok,blue,version-misassignment,medium,post,pass3,keep,"in: colourless, the version is named by Stock Up and Force or the Chromatic eggs and not by a playset",angle 2: narca's Dress Down build; no Stock Up or Force. Proposed rule: Same marker rule; one of the 25.,"List 22950 exists in the store as DreamsOfAshiok, Modern League, 2026-09-06, 5-0, archetype tron, camp blue, and the live classifier agrees. Its 61-card mainboard is the colourless Eldrazi engine (4 Karn, the Great Creator, 4 Ugin's Labyrinth, 4 Devourer of Destiny, 4 Kozilek's Command, 4 Ugin, Eye of the Storms, 3 Sowing Mycospawn, 3 Emrakul, the Promised End) with 4 Dress Down as the only blue card, cast off 1 Island and 3 Talisman of Curiosity; Stock Up 0, Force of Negation 0, in both boards. It is the same shape as narca's 182 and 10702 (4 Dress Down, 4 Karn, 3 Mycospawn, 3 Talisman, 1 Island). The rule does what the finder says: _spells_outside on the non-blue colours returns {Dress Down: 4}, _beyond_splash reads one playset as 'playset', and variant() returns blue. Under the adopted Tron ruling this is a genuine version error rather than re-litigation: the ruling defines blue Tron as the Stock Up and Force of Negation deck and says a splash inside the Eldrazi engine is colourless with a splash, but its mechanical clause (a playset is the colour) contradicts that prose, and the contradiction is already visible on the ruling's own example, BillisTheIllest's Dallas list on 4 Ancient Stirrings inside Karn, Temple and Mycospawn reading as green. No list id is placed by the ruling in the blue version. Re-measured with the rule patched to variants blue on Stock Up or Force of Negation and green on Chromatic Sphere, Chromatic Star or Sylvan Scrying: membership unchanged at 828 Tron lists (719 store, 109 paper); camps go from 745/78/5 to 772 colourless, 53 blue, 3 green; 27 lists move, the 25 blue members holding neither marker (24 store, zebhillard's Dallas list) to colourless, 22950 among them, plus 2 paper green lists (AlimTheBackpack's 4 Rumble at Brisbane, BillisTheIllest's 4 Stirrings at Dallas) to colourless. Every remaining blue list holds Stock Up or Force and casts 12 to 26 blue cards; no colourless list holds a named marker. Six of the 25 are challenge-class finishes (five of narca's, DreamsOfAshiok's 10731 at 23rd), so the tracked version's conversion figures are what the move touches."
